Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,SMITH S,2.81,20.145%,48.815%,24.885%,4.265%,1.895%,2
,TANG D,2.21,3.8%,34.18%,45.57%,12.66%,3.8%,1
,YAUGHER A,3.28,49.14%,31.9%,17.24%,0.86%,0.86%,1
,,,,,,,
PSYC-203,,,,,,,
,BERRY C,2.93,31.5%,41.845%,18.99%,3.65%,4.02%,2
,CLIFFORD P,3.29,49.6266666667%,34.6033333333%,12.56%,1.58%,1.62666666667%,3
,DONNELLAN M,3.42,55.56%,33.33%,9.09%,1.01%,1.01%,1
,LENCH H,3.04,31.656%,45.65%,18.738%,2.418%,1.538%,5
,SCHLEGEL R,2.94,27.875%,44.9475%,22.4975%,3.0925%,1.5875%,4
,SCHMEICHEL B,3.12,34.1%,46.05%,17.79%,2.06%,0.0%,2
,SCHUMACHER J,3.59,64.455%,31.0%,3.03%,1.515%,0.0%,2
,YU N,3.03,24.0%,60.0%,12.0%,4.0%,0.0%,1
,,,,,,,
PSYC-204,,,,,,,
,ARTHUR W,2.66,15.8566666667%,46.2283333333%,29.3883333333%,5.38333333333%,3.14166666667%,6
,DONNELLAN M,3.27,47.44%,38.46%,10.26%,1.28%,2.56%,1
,PAYNE S,2.81,19.33%,50.78%,24.38%,3.365%,2.145%,2
,SAMUELSON C,2.56,16.7916666667%,35.6166666667%,36.3683333333%,8.755%,2.46833333333%,6
,VAID J,3.42,48.72%,44.74%,6.54%,0.0%,0.0%,2
,,,,,,,
PSYC-206,,,,,,,
,SALTER P,3.57,59.2633333333%,38.17%,2.56333333333%,0.0%,0.0%,3
,,,,,,,
PSYC-209,,,,,,,
,SALTER P,3.35,47.6633333333%,41.48%,9.24666666667%,0.98%,0.63%,3
,,,,,,,
PSYC-210,,,,,,,
,BERGMAN M,3.0,27.27%,48.18%,21.82%,2.73%,0.0%,1
,TIDWELL N,3.32,47.37%,39.47%,10.53%,2.63%,0.0%,1
,WOODERSON R,3.46,62.16%,24.32%,10.81%,2.7%,0.0%,1
,,,,,,,
PSYC-251,,,,,,,
,BERRY C,2.94,32.26%,38.71%,22.58%,3.23%,3.23%,1
,PAYNE S,2.77,17.9066666667%,47.86%,29.4433333333%,3.17%,1.61666666667%,3
,,,,,,,
PSYC-289,,,,,,,
,BENCH S,3.68,89.47%,0.0%,5.26%,0.0%,5.26%,1
,TIDWELL N,3.4,54.37%,33.01%,10.68%,1.94%,0.0%,1
,,,,,,,
PSYC-300,,,,,,,
,EDENS P,2.93,28.1933333333%,42.1983333333%,24.4866666667%,4.24%,0.88%,6
,SMITTICK A,3.69,70.51%,28.21%,1.28%,0.0%,0.0%,1
,TIDWELL N,3.2,41.41%,41.085%,14.335%,2.855%,0.31%,2
,,,,,,,
PSYC-304,,,,,,,
,LEUNES A,3.23,48.552%,28.748%,20.813%,1.268%,0.622%,10
,,,,,,,
PSYC-305,,,,,,,
,AGUIRRE V,3.3,47.83%,34.78%,17.39%,0.0%,0.0%,1
,COOPER L,3.87,88.31%,10.545%,1.145%,0.0%,0.0%,2
,HEFFER R,3.69,75.255%,18.74%,6.005%,0.0%,0.0%,2
,KROON V,3.18,43.9%,35.37%,17.07%,2.44%,1.22%,1
,RAMOS A,3.35,43.64%,49.09%,5.45%,1.82%,0.0%,1
,VAN W,3.61,68.896%,24.866%,4.964%,0.64%,0.636%,5
,,,,,,,
PSYC-306,,,,,,,
,BODDEN J,3.02,24.76%,55.415%,17.2%,2.62%,0.0%,2
,KROON V,2.99,28.13%,44.79%,25.0%,2.08%,0.0%,1
,LANGE K,2.82,17.86%,53.57%,21.43%,7.14%,0.0%,1
,LEUNES A,3.05,33.3328571429%,39.67%,25.7671428571%,0.974285714286%,0.255714285714%,7
,LOWE D,3.33,50.955%,36.09%,10.41%,0.51%,2.04%,2
,MAGYAR M,2.78,18.92%,51.35%,21.62%,5.41%,2.7%,1
,MEYER J,3.68,71.21%,25.76%,3.03%,0.0%,0.0%,1
,SNYDER D,3.09,35.445%,42.66%,18.045%,3.13%,0.725%,2
,STAGNER B,3.77,79.68%,18.0%,2.32%,0.0%,0.0%,4
,THAMOTHARAN S,3.86,85.71%,14.29%,0.0%,0.0%,0.0%,1
,VAN W,3.45,57.855%,31.24%,9.06%,1.375%,0.48%,2
,WOODS D,2.83,22.02%,49.54%,20.18%,6.42%,1.83%,1
,YAUGHER A,3.36,52.8733333333%,32.9633333333%,12.0933333333%,1.45%,0.616666666667%,3
,,,,,,,
PSYC-307,,,,,,,
,DAVIDSON E,2.45,11.994%,37.384%,35.958%,12.528%,2.132%,5
,HIRSHKOWITZ A,2.78,10.45%,59.7%,26.87%,2.99%,0.0%,1
,HULL R,2.53,10.315%,44.365%,35.58%,7.795%,1.94%,2
,RAMOS A,3.45,51.75%,42.11%,5.26%,0.88%,0.0%,1
,VAN W,3.68,70.82%,26.1775%,3.0025%,0.0%,0.0%,4
,WILCOX T,3.49,62.3%,25.8066666667%,10.3866666667%,1.34%,0.166666666667%,3
,,,,,,,
PSYC-311,,,,,,,
,BOURGEOIS A,3.45,55.485%,31.9033333333%,11.035%,1.16333333333%,0.415%,6
,NAGAYA N,3.16,37.425%,45.58%,14.05%,1.475%,1.475%,2
,,,,,,,
PSYC-315,,,,,,,
,DARBOR K,2.81,23.19%,47.83%,20.29%,4.35%,4.35%,1
,HICKS J,3.71,74.78%,21.4975%,3.725%,0.0%,0.0%,4
,HIRSCH K,3.07,40.74%,25.93%,33.33%,0.0%,0.0%,1
,RHOLES W,2.95,23.23%,50.11%,25.5575%,1.1%,0.0%,4
,SCHMEICHEL B,3.17,38.07%,43.895%,15.9225%,1.665%,0.45%,4
,SETO E,3.25,45.4033333333%,37.53%,13.91%,2.60666666667%,0.546666666667%,3
,SMALLMAN R,3.68,73.08%,21.635%,5.29%,0.0%,0.0%,2
,SMITH C,3.1,35.3533333333%,43.6833333333%,16.8133333333%,3.68666666667%,0.47%,3
,,,,,,,
PSYC-319,,,,,,,
,LEUNES A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,SCHUMACHER J,3.87,90.54%,7.66%,0.9%,0.45%,0.45%,2
,,,,,,,
PSYC-320,,,,,,,
,NICHOLS J,3.29,45.45%,37.88%,16.67%,0.0%,0.0%,1
,SCHUMACHER J,3.43,55.7%,32.91%,10.13%,1.27%,0.0%,1
,YAMAUCHI T,3.31,44.835%,39.4766666667%,13.395%,0.993333333333%,1.30333333333%,6
,,,,,,,
PSYC-323,,,,,,,
,AGUIRRE V,3.71,74.525%,21.935%,3.54%,0.0%,0.0%,2
,CALLES I,3.47,52.83%,41.51%,5.66%,0.0%,0.0%,1
,LANGE K,3.16,37.56%,44.84%,14.49%,2.63%,0.485%,2
,RAMOS A,3.63,68.42%,26.32%,5.26%,0.0%,0.0%,1
,THAMOTHARAN S,3.26,51.28%,30.77%,12.82%,2.56%,2.56%,1
,,,,,,,
PSYC-330,,,,,,,
,BODDEN J,2.9,21.93%,50.88%,22.81%,4.39%,0.0%,1
,DAVIS W,3.45,61.135%,24.72%,13.25%,0.0%,0.895%,2
,HICKS J,3.19,40.5166666667%,40.32%,16.32%,1.96%,0.883333333333%,3
,MOREY L,2.72,21.65%,38.14%,32.47%,5.67%,2.06%,1
,SMITH S,2.85,28.21%,35.9%,28.21%,7.69%,0.0%,1
,STAGNER B,3.37,45.888%,39.702%,13.376%,0.528%,0.504%,5
,,,,,,,
PSYC-333,,,,,,,
,EITAN S,3.27,44.842%,37.654%,17.504%,0.0%,0.0%,5
,,,,,,,
PSYC-335,,,,,,,
,EITAN S,3.26,46.235%,33.8225%,19.615%,0.325%,0.0%,4
,NAGAYA N,2.92,28.0466666667%,40.2433333333%,27.12%,4.59%,0.0%,3
,PACKARD M,3.17,42.39%,34.3033333333%,21.3933333333%,1.91666666667%,0.0%,3
,RODRIGUEZ J,2.6,16.89%,45.285%,20.94%,14.915%,1.975%,2
,WELLMAN P,3.92,92.31%,7.69%,0.0%,0.0%,0.0%,2
,,,,,,,
PSYC-336,,,,,,,
,MAREN S,3.26,46.825%,32.14%,21.03%,0.0%,0.0%,4
,,,,,,,
PSYC-340,,,,,,,
,CLIFFORD P,2.86,20.98%,48.95%,25.17%,4.9%,0.0%,1
,GRAU J,2.76,27.01%,32.69%,31.968%,5.774%,2.554%,5
,,,,,,,
PSYC-345,,,,,,,
,GERACI L,2.92,25.6875%,46.475%,22.995%,4.0475%,0.79%,4
,HUGHES M,3.13,36.96%,43.48%,15.22%,4.35%,0.0%,1
,LOPEZ B,2.8,20.44%,47.45%,24.09%,8.03%,0.0%,1
,SCHUMACHER J,3.51,58.2233333333%,35.5533333333%,5.35%,0.28%,0.59%,3
,SMITH S,3.74,77.775%,18.055%,4.165%,0.0%,0.0%,2
,WORTHY D,3.47,56.25%,34.38%,9.38%,0.0%,0.0%,1
,,,,,,,
PSYC-346,,,,,,,
,LOPEZ B,3.06,47.06%,32.35%,8.82%,2.94%,8.82%,1
,VAID J,3.6,63.6575%,32.93%,3.415%,0.0%,0.0%,4
,,,,,,,
PSYC-352,,,,,,,
,DOVALINA C,2.95,35.715%,38.095%,16.67%,4.76%,4.76%,2
,LOMELI L,2.62,20.59%,41.18%,23.53%,8.82%,5.88%,1
,SAMUELSON C,2.68,15.245%,46.78%,31.535%,3.22%,3.22%,2
,,,,,,,
PSYC-353,,,,,,,
,ARTHUR W,2.5,13.89%,36.11%,38.89%,8.33%,2.78%,1
,ASENUGA O,3.13,44.55%,27.885%,23.395%,4.165%,0.0%,2
,,,,,,,
PSYC-354,,,,,,,
,SAMUELSON C,3.68,70.2066666667%,27.31%,2.48333333333%,0.0%,0.0%,3
,,,,,,,
PSYC-360,,,,,,,
,DAWSON M,2.67,19.05%,33.33%,42.86%,4.76%,0.0%,1
,MEAGHER M,3.43,53.5628571429%,36.8142857143%,8.57285714286%,0.831428571429%,0.222857142857%,7
,,,,,,,
PSYC-371,,,,,,,
,COX J,2.8,20.0%,40.0%,40.0%,0.0%,0.0%,1
,EDENS J,2.85,24.925%,42.875%,25.09%,6.175%,0.925%,2
,KELLEY S,2.92,27.03%,45.95%,21.62%,2.7%,2.7%,1
,RULSEH A,2.87,25.6433333333%,42.3833333333%,27.0266666667%,3.66666666667%,1.28666666667%,3
,SMITH S,2.79,25.0%,39.58%,27.08%,6.25%,2.08%,1
,TEXAS A,2.86,26.79%,39.29%,26.79%,7.14%,0.0%,1
,,,,,,,
PSYC-407,,,,,,,
,DAVIDSON E,3.03,30.26%,48.025%,17.5475%,2.605%,1.5625%,4
,,,,,,,
PSYC-414,,,,,,,
,HEFFER R,3.25,46.09%,35.7533333333%,15.68%,2.48%,0.0%,3
,WOODS D,3.07,36.59%,41.46%,14.63%,7.32%,0.0%,1
,,,,,,,
PSYC-450,,,,,,,
,FIELDS S,3.4,50.0%,40.0%,10.0%,0.0%,0.0%,1
,TEXAS A,3.4,50.0%,40.0%,10.0%,0.0%,0.0%,1
,,,,,,,
PSYC-470,,,,,,,
,MOREY L,3.36,54.55%,36.36%,0.0%,9.09%,0.0%,1
,,,,,,,
PSYC-485,,,,,,,
,LEUNES A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-489,,,,,,,
,FIELDS S,3.86,85.71%,14.29%,0.0%,0.0%,0.0%,1
,MOREY L,3.25,50.0%,25.0%,25.0%,0.0%,0.0%,1
,ORR J,2.52,20.0%,36.0%,24.0%,16.0%,4.0%,1
,SALTER P,3.4,40.0%,60.0%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-491,,,,,,,
,HEFFER R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,HICKS J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,LENCH H,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,WILCOX T,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-603,,,,,,,
,SMITH S,3.73,75.2233333333%,22.6933333333%,2.08333333333%,0.0%,0.0%,3
,,,,,,,
PSYC-606,,,,,,,
,GRAU J,3.5,50.0%,50.0%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-607,,,,,,,
,WORTHY D,3.87,88.2466666667%,10.0866666667%,1.66666666667%,0.0%,0.0%,3
,,,,,,,
PSYC-608,,,,,,,
,BALSIS S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,,,,,,,
PSYC-610,,,,,,,
,BERGMAN M,3.5,63.89%,22.22%,13.89%,0.0%,0.0%,2
,,,,,,,
PSYC-613,,,,,,,
,EDENS J,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,1
,FIELDS S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,HEFFER R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,MOREY L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,SNYDER D,3.97,96.97%,3.03%,0.0%,0.0%,0.0%,3
,STAGNER B,3.96,96.0%,4.0%,0.0%,0.0%,0.0%,5
,,,,,,,
PSYC-614,,,,,,,
,BALSIS S,3.9,90.0%,10.0%,0.0%,0.0%,0.0%,2
,FIELDS S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,HEFFER R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,7
,MEAGHER M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,SNYDER D,3.93,93.3333333333%,6.66666666667%,0.0%,0.0%,0.0%,3
,STAGNER B,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,VAN W,3.96,96.4275%,3.5725%,0.0%,0.0%,0.0%,4
,,,,,,,
PSYC-615,,,,,,,
,YAMAUCHI T,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-620,,,,,,,
,RHOLES W,3.97,97.0966666667%,2.90333333333%,0.0%,0.0%,0.0%,6
,,,,,,,
PSYC-621,,,,,,,
,HICKS J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,LENCH H,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,SCHLEGEL R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,SCHMEICHEL B,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
PSYC-623,,,,,,,
,SNYDER D,3.92,91.665%,8.335%,0.0%,0.0%,0.0%,2
,,,,,,,
PSYC-624,,,,,,,
,MOREY L,3.77,77.5%,22.5%,0.0%,0.0%,0.0%,4
,,,,,,,
PSYC-626,,,,,,,
,HEFFER R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-627,,,,,,,
,HEFFER R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-634,,,,,,,
,WILCOX T,3.91,90.91%,9.09%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-635,,,,,,,
,MAREN S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,4
,,,,,,,
PSYC-636,,,,,,,
,WILCOX T,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-637,,,,,,,
,FIELDS S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,,,,,,,
PSYC-638,,,,,,,
,STAGNER B,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
PSYC-639,,,,,,,
,HEFFER R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,LIBERAL A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,TEXAS A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,TOTAL S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-650,,,,,,,
,WELLMAN P,3.83,83.33%,16.67%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-670,,,,,,,
,SCHMEICHEL B,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,7
,,,,,,,
PSYC-671,,,,,,,
,WORTHY D,3.81,85.4325%,10.3125%,4.2575%,0.0%,0.0%,4
,,,,,,,
PSYC-678,,,,,,,
,SNYDER D,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-680,,,,,,,
,BERGMAN M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,SAMUELSON C,3.8,80.0%,20.0%,0.0%,0.0%,0.0%,2
,,,,,,,
PSYC-682,,,,,,,
,ARTHUR W,3.75,75.0%,25.0%,0.0%,0.0%,0.0%,1
,PAYNE S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
PSYC-689,,,,,,,
,BERNARD J,3.75,75.0%,25.0%,0.0%,0.0%,0.0%,1
,BERRY C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,DEPARTMENT T,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,DONNELLAN M,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,EDENS J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,GERACI L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,HICKS J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,LIBERAL A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,SALTER P,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,SMITH S,3.56,72.225%,11.11%,16.665%,0.0%,0.0%,2
,TEXAS A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,TOTAL S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,VAID J,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,WELLMAN P,3.85,84.62%,15.38%,0.0%,0.0%,0.0%,1
,,,,,,,
PSYC-697,,,,,,,
,HULL R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,SMALLMAN R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
RELS-211,,,,,,,
,LAMOREAUX J,3.11,44.44%,22.22%,33.33%,0.0%,0.0%,1
,STADELMANN R,2.89,33.33%,44.44%,11.11%,0.0%,11.11%,1
,,,,,,,
RELS-213,,,,,,,
,LAMOREAUX J,3.54,62.0366666667%,30.0933333333%,7.87%,0.0%,0.0%,3
,STADELMANN R,3.0,25.0%,55.0%,15.0%,5.0%,0.0%,1
,,,,,,,
RELS-220,,,,,,,
,SCHWARTZ D,2.8,14.0%,58.0%,24.0%,2.0%,2.0%,2
,,,,,,,
RELS-221,,,,,,,
,EMRE S,3.17,49.4433333333%,33.3333333333%,9.72333333333%,0.0%,7.5%,3
,,,,,,,
RELS-251,,,,,,,
,LAKE J,2.63,32.625%,23.61%,25.335%,11.14%,7.295%,2
,,,,,,,
RELS-303,,,,,,,
,LAMOREAUX J,3.63,65.8166666667%,31.2833333333%,2.9%,0.0%,0.0%,3
,STADELMANN R,3.21,26.32%,68.42%,5.26%,0.0%,0.0%,1
,,,,,,,
RELS-304,,,,,,,
,RAYMOND D,3.5,55.0%,40.0%,5.0%,0.0%,0.0%,2
,STADELMANN R,3.0,33.33%,33.33%,33.33%,0.0%,0.0%,1
,,,,,,,
RELS-312,,,,,,,
,DOX D,3.79,78.57%,21.43%,0.0%,0.0%,0.0%,1
,HAVENS J,3.24,43.695%,39.075%,15.755%,0.0%,1.47%,2
,,,,,,,
RELS-317,,,,,,,
,WACHSMANN S,2.73,30.65%,30.3933333333%,25.1766666667%,6.72%,7.05666666667%,3
,,,,,,,
RELS-321,,,,,,,
,KARASIPAHI S,3.27,45.45%,45.8033333333%,2.3%,3.44666666667%,3.00333333333%,3
,,,,,,,
RELS-326,,,,,,,
,MACKIN R,3.2,55.9933333333%,23.31%,13.29%,0.0%,7.40666666667%,3
,MESTROVIC S,3.9,90.0%,10.0%,0.0%,0.0%,0.0%,1
,,,,,,,
RELS-331,,,,,,,
,MCCANN H,2.94,37.5%,37.5%,12.5%,6.25%,6.25%,2
,,,,,,,
RELS-351,,,,,,,
,LAKE J,2.42,26.7%,22.96%,27.21%,12.245%,10.88%,2
,,,,,,,
RELS-360,,,,,,,
,CLARK W,3.05,20.0%,65.0%,15.0%,0.0%,0.0%,4
,PERRY N,3.0,30.0%,60.0%,0.0%,0.0%,10.0%,1
,,,,,,,
RELS-365,,,,,,,
,HAEFELI E,3.12,18.7866666667%,74.5466666667%,6.66666666667%,0.0%,0.0%,3
,,,,,,,
RELS-371,,,,,,,
,KALLENDORF H,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
RELS-392,,,,,,,
,BOENIG R,3.0,30.0%,40.0%,30.0%,0.0%,0.0%,2
,,,,,,,
RELS-480,,,,,,,
,HAVENS J,3.4,60.0%,20.0%,20.0%,0.0%,0.0%,1
,,,,,,,
RELS-489,,,,,,,
,KATZ C,3.6,60.0%,40.0%,0.0%,0.0%,0.0%,1
,,,,,,,
RUSS-101,,,,,,,
,BAKELMANN I,3.3,56.9075%,25.9525%,11.485%,1.8175%,3.8325%,4
,COOKE L,3.26,55.56%,22.22%,14.81%,7.41%,0.0%,1
,RICH E,3.49,61.73%,25.93%,9.88%,2.47%,0.0%,1
,,,,,,,
RUSS-102,,,,,,,
,BAKELMANN I,3.31,53.955%,29.7425%,12.7875%,0.555%,2.9575%,4
,COOKE L,3.21,38.64%,43.18%,18.18%,0.0%,0.0%,1
,RICH E,3.29,50.77%,33.85%,10.77%,3.08%,1.54%,1
,,,,,,,
RUSS-201,,,,,,,
,BAKELMANN I,3.13,46.67%,33.33%,6.67%,13.33%,0.0%,1
,COOKE O,3.14,33.125%,49.39%,16.8425%,0.0%,0.64%,4
,RICH E,3.0,34.045%,42.105%,15.46%,7.07%,1.315%,2
,,,,,,,
RUSS-202,,,,,,,
,BAKELMANN I,3.11,31.43%,57.14%,5.71%,2.86%,2.86%,1
,COOKE L,2.64,24.355%,25.895%,38.72%,11.025%,0.0%,2
,COOKE O,3.26,42.98%,39.8066666667%,17.2166666667%,0.0%,0.0%,3
,RICH E,2.9,33.03%,33.94%,23.94%,7.575%,1.515%,2
,,,,,,,
RUSS-211,,,,,,,
,BAKELMANN I,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,RICH E,3.47,66.67%,26.67%,0.0%,0.0%,6.67%,1
,,,,,,,
RUSS-221,,,,,,,
,COOKE O,3.92,91.67%,8.33%,0.0%,0.0%,0.0%,1
,,,,,,,
RUSS-222,,,,,,,
,COOKE L,3.33,41.67%,50.0%,8.33%,0.0%,0.0%,1
,,,,,,,
RUSS-285,,,,,,,
,RICH E,3.0,28.57%,57.14%,0.0%,14.29%,0.0%,1
,,,,,,,
RUSS-301,,,,,,,
,COOKE L,3.42,57.89%,26.32%,15.79%,0.0%,0.0%,1
,,,,,,,
RUSS-302,,,,,,,
,COOKE O,3.45,45.0%,55.0%,0.0%,0.0%,0.0%,1
,RICH E,3.35,58.82%,29.41%,5.88%,0.0%,5.88%,1
,,,,,,,
RUSS-322,,,,,,,
,COOKE L,3.45,58.525%,33.805%,4.545%,0.0%,3.125%,2
,COOKE O,3.6,60.0%,40.0%,0.0%,0.0%,0.0%,2
,,,,,,,
RUSS-410,,,,,,,
,COOKE O,3.61,60.87%,39.13%,0.0%,0.0%,0.0%,1
,,,,,,,
RUSS-441,,,,,,,
,COOKE L,3.57,61.82%,33.635%,4.545%,0.0%,0.0%,2
,,,,,,,
RUSS-442,,,,,,,
,COOKE O,3.53,71.07%,22.905%,0.0%,0.0%,6.02%,2
,DEPARTMENT T,3.52,65.22%,30.43%,0.0%,0.0%,4.35%,1
,LIBERAL A,3.52,65.22%,30.43%,0.0%,0.0%,4.35%,1
,PERFORMANCE S,3.52,65.22%,30.43%,0.0%,0.0%,4.35%,1
,TEXAS A,3.52,65.22%,30.43%,0.0%,0.0%,4.35%,1
,TOTAL S,3.52,65.22%,30.43%,0.0%,0.0%,4.35%,1
,,,,,,,
RUSS-443,,,,,,,
,RICH E,3.64,63.64%,36.36%,0.0%,0.0%,0.0%,1
,,,,,,,
RUSS-444,,,,,,,
,RICH E,3.46,46.15%,53.85%,0.0%,0.0%,0.0%,1
,,,,,,,
RUSS-446,,,,,,,
,COOKE L,3.45,54.3%,36.875%,8.825%,0.0%,0.0%,2
,,,,,,,
RUSS-447,,,,,,,
,COOKE O,3.58,57.875%,42.125%,0.0%,0.0%,0.0%,2
,DEPARTMENT T,3.62,61.9%,38.1%,0.0%,0.0%,0.0%,1
,LIBERAL A,3.62,61.9%,38.1%,0.0%,0.0%,0.0%,1
,PERFORMANCE S,3.62,61.9%,38.1%,0.0%,0.0%,0.0%,1
,TEXAS A,3.62,61.9%,38.1%,0.0%,0.0%,0.0%,1
,TOTAL S,3.62,61.9%,38.1%,0.0%,0.0%,0.0%,1
,,,,,,,
SOCI-203,,,,,,,
,GOLDSMITH P,3.09,58.7%,15.22%,10.87%,6.52%,8.7%,1
,,,,,,,
SOCI-205,,,,,,,
,ALDANA M,3.25,49.65%,36.17%,9.22%,0.0%,4.96%,1
,AMARO G,2.79,28.89%,38.52%,20.74%,6.67%,5.19%,1
,BENNEFIELD Z,2.44,11.035%,41.825%,32.78%,9.285%,5.075%,2
,BROCATO B,3.71,73.88%,24.63%,0.75%,0.0%,0.75%,1
,CAMPBELL M,2.77,13.73%,56.86%,22.55%,5.88%,0.98%,1
,COHN S,2.82,32.535%,35.43%,21.52%,2.855%,7.655%,2
,COUCH T,3.41,61.38%,25.19%,7.77%,3.885%,1.77%,2
,FIELD L,2.94,28.445%,47.67%,14.955%,6.805%,2.13%,2
,GARCIA S,2.65,7.69%,57.69%,30.77%,0.0%,3.85%,1
,HERNANDEZ A,2.45,14.78%,40.0%,30.43%,6.96%,7.83%,1
,HILL C,2.89,19.13%,58.105%,16.805%,4.59%,1.37%,2
,HOU D,2.79,30.23%,37.21%,16.28%,13.95%,2.33%,1
,KAINER J,3.68,73.43%,22.38%,3.5%,0.0%,0.7%,1
,LIU D,3.35,48.7175%,41.1975%,6.8675%,2.5625%,0.6575%,4
,LOVE T,3.49,57.86%,34.29%,7.14%,0.71%,0.0%,1
,MACKIN R,3.23,44.1233333333%,38.9766666667%,12.9533333333%,3.29%,0.653333333333%,3
,MESTROVIC S,3.99,98.62%,1.38%,0.0%,0.0%,0.0%,1
,MOORE W,2.79,26.87%,41.79%,18.66%,8.96%,3.73%,1
,ORTA D,3.32,48.0%,36.0%,16.0%,0.0%,0.0%,1
,ORTEGA F,3.0,31.58%,42.86%,21.8%,1.5%,2.26%,1
,SALINAS J,3.52,58.06%,34.68%,5.65%,0.81%,0.81%,1
,SANCHEZ M,2.85,30.0%,40.0%,20.0%,5.0%,5.0%,1
,SHAFFER R,3.14,45.63%,33.36%,13.8733333333%,3.83333333333%,3.3%,3
,WOODS T,2.32,7.215%,34.805%,43.4%,11.47%,3.11%,2
,XIONG Q,2.92,41.67%,33.33%,12.5%,0.0%,12.5%,1
,,,,,,,
SOCI-206,,,,,,,
,COHN S,2.75,19.96%,50.9366666667%,19.8866666667%,2.46333333333%,6.75333333333%,3
,HART W,3.27,46.15%,34.62%,19.23%,0.0%,0.0%,1
,LIU D,3.0,22.22%,61.11%,11.11%,5.56%,0.0%,1
,,,,,,,
SOCI-207,,,,,,,
,AGUILAR S,3.73,76.555%,19.595%,3.845%,0.0%,0.0%,2
,COUCH T,3.96,96.155%,3.205%,0.64%,0.0%,0.0%,2
,CURRY G,3.13,33.33%,60.0%,0.0%,0.0%,6.67%,1
,DATHIS D,3.09,26.09%,65.22%,4.35%,0.0%,4.35%,1
,ISTVAN A,3.18,43.59%,38.46%,12.82%,2.56%,2.56%,1
,LAKKIMSETTI C,3.1,38.58%,37.76%,20.44%,1.95%,1.275%,2
